TITLE = 'solution of Poisson Equation'
 No.   Coord-x,  Coord-y   Result_SPh   Exact_Solution
 461   0.275000   0.225000          0.0239    0.025018
 502   0.300000   0.225000          0.0257    0.026618
 543   0.325000   0.225000          0.0269    0.028053
 584   0.350000   0.225000          0.0283    0.029315
 625   0.375000   0.225000          0.0293    0.030397
 666   0.400000   0.225000          0.0303    0.031291
 707   0.425000   0.225000          0.0309    0.031992
 748   0.450000   0.225000          0.0315    0.032496
 789   0.475000   0.225000          0.0317    0.032800
 830   0.500000   0.225000          0.0319    0.032901
 871   0.525000   0.225000          0.0317    0.032800
 912   0.550000   0.225000          0.0315    0.032496
 953   0.575000   0.225000          0.0309    0.031992
 994   0.600000   0.225000          0.0303    0.031291
 1035   0.625000   0.225000          0.0293    0.030397
 1076   0.650000   0.225000          0.0283    0.029315
 1117   0.675000   0.225000          0.0269    0.028053
 1158   0.700000   0.225000          0.0257    0.026618
 1199   0.725000   0.225000          0.0239    0.025018
 1240   0.750000   0.225000          0.0224    0.023265
 1281   0.775000   0.225000          0.0203    0.021368
 1322   0.800000   0.225000          0.0186    0.019339
 1363   0.825000   0.225000          0.0161    0.017191
 1404   0.850000   0.225000          0.0143    0.014937
 1445   0.875000   0.225000          0.0115    0.012591
 1486   0.900000   0.225000          0.0097    0.010167
 1527   0.925000   0.225000          0.0065    0.007681
 1568   0.950000   0.225000          0.0048    0.005147
 1609   0.975000   0.225000          0.0013    0.002581
 1650   1.000000   0.225000          0.0000    0.000000
 11   0.000000   0.250000          0.0000    0.000000
 52   0.025000   0.250000          0.0015    0.002811
 93   0.050000   0.250000          0.0053    0.005604
 134   0.075000   0.250000          0.0072    0.008363
 175   0.100000   0.250000          0.0107    0.011070
 216   0.125000   0.250000          0.0127    0.013709
 257   0.150000   0.250000          0.0158    0.016263
 298   0.175000   0.250000          0.0178    0.018717
 339   0.200000   0.250000          0.0206    0.021056
 380   0.225000   0.250000          0.0224    0.023265
 421   0.250000   0.250000          0.0248    0.025330
 462   0.275000   0.250000          0.0265    0.027240
 503   0.300000   0.250000          0.0284    0.028981
 544   0.325000   0.250000          0.0298    0.030544
 585   0.350000   0.250000          0.0313    0.031918
 626   0.375000   0.250000          0.0324    0.033096
 667   0.400000   0.250000          0.0335    0.034069
 708   0.425000   0.250000          0.0341    0.034833
 749   0.450000   0.250000          0.0348    0.035381
 790   0.475000   0.250000          0.0350    0.035712
 831   0.500000   0.250000          0.0352    0.035822
 872   0.525000   0.250000          0.0350    0.035712
 913   0.550000   0.250000          0.0348    0.035381
 954   0.575000   0.250000          0.0341    0.034833
 995   0.600000   0.250000          0.0335    0.034069
 1036   0.625000   0.250000          0.0324    0.033096
 1077   0.650000   0.250000          0.0313    0.031918
 1118   0.675000   0.250000          0.0298    0.030544
 1159   0.700000   0.250000          0.0284    0.028981
 1200   0.725000   0.250000          0.0265    0.027240
 1241   0.750000   0.250000          0.0248    0.025330
 1282   0.775000   0.250000          0.0224    0.023265
 1323   0.800000   0.250000          0.0206    0.021056
 1364   0.825000   0.250000          0.0178    0.018717
 1405   0.850000   0.250000          0.0158    0.016263
 1446   0.875000   0.250000          0.0127    0.013709
 1487   0.900000   0.250000          0.0107    0.011070
 1528   0.925000   0.250000          0.0072    0.008363
 1569   0.950000   0.250000          0.0053    0.005604
 1610   0.975000   0.250000          0.0015    0.002811
 1651   1.000000   0.250000          0.0000    0.000000
 12   0.000000   0.275000          0.0000    0.000000
 53   0.025000   0.275000          0.0016    0.003022
 94   0.050000   0.275000          0.0057    0.006026
 135   0.075000   0.275000          0.0077    0.008993
 176   0.100000   0.275000          0.0114    0.011904
 217   0.125000   0.275000          0.0136    0.014742
 258   0.150000   0.275000          0.0169    0.017489
 299   0.175000   0.275000          0.0190    0.020128
 340   0.200000   0.275000          0.0219    0.022643
 381   0.225000   0.275000          0.0239    0.025018
 422   0.250000   0.275000          0.0265    0.027240
 463   0.275000   0.275000          0.0282    0.029293
 504   0.300000   0.275000          0.0303    0.031165
 545   0.325000   0.275000          0.0318    0.032846
 586   0.350000   0.275000          0.0334    0.034324
 627   0.375000   0.275000          0.0345    0.035590
 668   0.400000   0.275000          0.0357    0.036637
 709   0.425000   0.275000          0.0364    0.037458
 750   0.450000   0.275000          0.0371    0.038048
 791   0.475000   0.275000          0.0373    0.038404
